coverage,path,month,index,nav,cash,cash_wealth,gross_premium,call_settlement
0.7,持续下跌,8,78.3743359437696,77.50158206472182,16.460227974157444,93.96181003887926,0.02,0.0
0.7,持续下跌,9,76.0231058654565,74.79433197164289,18.517756470927125,93.31208844257002,0.02,0.0
0.7,持续下跌,10,73.74241268949281,72.10977765851094,20.575284967696806,92.68506262620774,0.02,0.0
0.7,持续下跌,11,71.53014030880803,69.44772885903741,22.632813464466487,92.08054232350389,0.02,0.0
0.7,持续下跌,12,69.38423609954378,66.80799690199947,24.690341961236168,91.49833886323565,0.02,0.0
0.7,先跌后V形反弹,1,92.0,92.10413816989698,2.05752849676968,94.16166666666666,0.02,0.0
0.7,先跌后V形反弹,2,84.64,84.66926307297481,4.11505699353936,88.78432006651417,0.02,0.0
0.7,先跌后V形反弹,3,77.86880000000001,77.66846076712795,6.17258549030904,83.841046257437,0.02,0.0
0.7,先跌后V形反弹,4,73.97536000000001,73.40644245891797,8.23011398707872,81.63655644599669,0.02,0.0
0.7,先跌后V形反弹,5,81.37289600000001,75.1379098337361,10.287642483848401,85.4255523175845,0.02,0.06999999999999999
0.7,先跌后V形反弹,6,89.51018560000001,76.95874978288444,12.345170980618082,89.30392076350252,0.02,0.06999999999999999
0.7,先跌后V形反弹,7,98.46120416000002,78.87357542074132,14.402699477387763,93.27627489812909,0.02,0.06999999999999999
0.7,先跌后V形反弹,8,106.33810049280004,80.4139965227478,16.460227974157444,96.87422449690524,0.02,0.055999999999999994
0.7,先跌后V形反弹,9,112.71838652236805,81.5422025215543,18.517756470927125,100.05995899248143,0.02,0.041999999999999996
0.7,先跌后V形反弹,10,118.35430584848646,82.47047767378221,20.575284967696806,103.04576264147902,0.02,0.034999999999999996
0.7,先跌后V形反弹,11,123.08847808242592,83.18533173481285,22.632813464466487,105.81814519927934,0.02,0.027999999999999997
0.7,先跌后V形反弹,12,126.7811324248987,83.67466081132403,24.690341961236168,108.3650027725602,0.02,0.020999999999999998
0.85,震荡,1,103.0,100.55413816989697,2.05752849676968,102.61166666666665,0.02,0.0255
0.85,震荡,2,100.94,98.65917219650196,4.11505699353936,102.77422919004131,0.02,0.0
0.85,震荡,3,102.9588,99.03030365530284,6.17258549030904,105.20288914561189,0.02,0.017
0.85,震荡,4,99.870036,96.14257111288956,8.23011398707872,104.37268509996828,0.02,0.0
0.85,震荡,5,100.86873636,96.30753838501285,10.287642483848401,106.59518086886125,0.02,0.0085
0.85,震荡,6,100.86873636,96.3318578429992,12.345170980618082,108.67702882361728,0.02,0.0
0.85,震荡,7,102.8861110872,96.64569858013135,14.402699477387763,111.04839805751911,0.02,0.017
0.85,震荡,8,100.828388865456,94.74441396273288,16.460227974157444,111.20464193689033,0.02,0.0
0.85,震荡,9,103.85324053141969,95.16129374395656,18.517756470927125,113.67905021488369,0.02,0.0255
0.85,震荡,10,100.73764331547709,92.30599640130005,20.575284967696806,112.88128136899685,0.02,0.0
0.85,震荡,11,101.74501974863186,92.38227485467375,22.632813464466487,115.01508831914023,0.02,0.0085
0.85,震荡,12,101.74501974863186,92.32174319934593,24.690341961236168,117.0120851605821,0.02,0.0
0.85,持续上涨,1,103.0,100.55413816989697,2.05752849676968,102.61166666666665,0.02,0.0255
0.85,持续上涨,2,106.09,101.12274858166442,4.11505699353936,105.23780557520378,0.02,0.0255
0.85,持续上涨,3,109.2727,101.70620920201921,6.17258549030904,107.87879469232826,0.02,0.0255
0.85,持续上涨,4,112.550881,102.30490786890893,8.23011398707872,110.53502185598765,0.02,0.0255
0.85,持续上涨,5,115.92740743,102.91924254931558,10.287642483848401,113.20688503316399,0.02,0.0255
0.85,持续上涨,6,119.4052296529,103.54962160379219,12.345170980618082,115.89479258441027,0.02,0.0255
0.85,持续上涨,7,122.987386542487,104.1964640579082,14.402699477387763,118.59916353529596,0.02,0.0255
0.85,持续上涨,8,126.67700813876162,104.86019988078422,16.460227974157444,121.32042785494167,0.02,0.0255
0.85,持续上涨,9,130.47731838292447,105.54127027090101,18.517756470927125,124.05902674182813,0.02,0.0255
0.85,持续上涨,10,134.39163793441222,106.24012794937302,20.575284967696806,126.81541291706982,0.02,0.0255
0.85,持续上涨,11,138.4233870724446,106.95723746088112,22.632813464466487,129.5900509253476,0.02,0.0255
0.85,持续上涨,12,142.57608868461793,107.69307548246478,24.690341961236168,132.38341744370095,0.02,0.0255
0.85,持续下跌,1,97.0,97.104138169897,2.05752849676968,99.16166666666668,0.02,0.0
0.85,持续下跌,2,94.09,94.23255331480303,4.11505699353936,98.34761030834238,0.02,0.0
0.85,持续下跌,3,91.2673,91.38504191274426,6.17258549030904,97.5576274030533,0.02,0.0
0.85,持续下跌,4,88.529281,88.5614021479394,8.23011398707872,96.79151613501813,0.02,0.0
0.85,持续下跌,5,85.87340257,85.76143389649617,10.287642483848401,96.04907638034457,0.02,0.0
0.85,持续下跌,6,83.29720049289999,82.98493871222753,12.345170980618082,95.33010969284561,0.02,0.0
0.85,持续下跌,7,80.79828447811299,80.23171981258702,14.402699477387763,94.63441928997477,0.02,0.0
0.85,持续下跌,8,78.3743359437696,77.50158206472182,16.460227974157444,93.96181003887926,0.02,0.0
0.85,持续下跌,9,76.0231058654565,74.79433197164289,18.517756470927125,93.31208844257002,0.02,0.0
0.85,持续下跌,10,73.74241268949281,72.10977765851094,20.575284967696806,92.68506262620774,0.02,0.0
0.85,持续下跌,11,71.53014030880803,69.44772885903741,22.632813464466487,92.08054232350389,0.02,0.0
0.85,持续下跌,12,69.38423609954378,66.80799690199947,24.690341961236168,91.49833886323565,0.02,0.0
0.85,先跌后V形反弹,1,92.0,92.10413816989698,2.05752849676968,94.16166666666666,0.02,0.0
0.85,先跌后V形反弹,2,84.64,84.66926307297481,4.11505699353936,88.78432006651417,0.02,0.0
0.85,先跌后V形反弹,3,77.86880000000001,77.66846076712795,6.17258549030904,83.841046257437,0.02,0.0
0.85,先跌后V形反弹,4,73.97536000000001,73.40644245891797,8.23011398707872,81.63655644599669,0.02,0.0
0.85,先跌后V形反弹,5,81.37289600000001,74.03681319685234,10.287642483848401,84.32445568070074,0.02,0.085
0.85,先跌后V形反弹,6,89.51018560000001,74.69026600997407,12.345170980618082,87.03543699059215,0.02,0.085
