date,nav,distribution,tr_index,nav_index,cash_wealth_index,nav_drawdown,tr_drawdown
2026-06-22,7.4674,0.0,92.58745877308921,84.93982755875061,93.01590190413359,-0.18306037830800714,-0.10950650928513572
2026-06-23,7.3215,0.0,90.77846096461589,83.2802511545374,91.3563254999204,-0.19902195674291911,-0.1269052023101911
2026-06-24,7.3265,0.0,90.84045540630449,83.33712491753306,91.41319926291604,-0.19847495268414894,-0.1263089482654668
2026-06-25,7.1791,0.0,89.01285926532456,81.66048638442115,89.73656072980414,-0.21460063233669202,-0.14388651750393966
2026-06-26,7.0402,0.0,87.29065367521528,80.08053324840185,88.15660759378483,-0.22979640508932597,-0.160450454866381
2026-06-29,7.1795,0.0,89.01781882065966,81.6650362854608,89.74111063084378,-0.21455687201199047,-0.14383881718036173
2026-06-30,7.0105,0.15,88.78223994224298,79.74270309620766,89.5249903314603,-0.23304560919842032,-0.146104582550314
2026-07-02,7.0693,0.0,89.52689377700567,80.41153854903656,90.1938257842892,-0.22661284146728378,-0.1389426040115449
2026-07-03,7.1256,0.0,90.23988715961009,81.05193712036764,90.83422435562028,-0.22045357576553226,-0.13208513136302946
2026-07-06,7.1808,0.0,90.93894994326486,81.67982346383967,91.46211069909229,-0.2144146509567102,-0.12536164130622585
2026-07-07,7.1615,0.0,90.69453125260297,81.46029073867645,91.24257797392907,-0.21652608662356276,-0.12771242677898498
2026-07-08,7.2634,0.0,91.98501128257438,82.61937802852788,92.40166526378052,-0.20537814390582798,-0.11530076669224032
2026-07-09,7.2419,0.0,91.71273139401319,82.37482084764657,92.15710808289921,-0.20773026135853934,-0.11791951734842299
2026-07-10,7.2497,0.0,91.81151200474702,82.4635439179198,92.24583115317243,-0.206876935026858,-0.11696945897083111
2026-07-13,7.2587,0.0,91.92548963251681,82.56591669131197,92.34820392656461,-0.2058923277210718,-0.11587323776591751
2026-07-14,7.2603,0.0,91.94575232189811,82.58411629547058,92.36640353072322,-0.2057172864222654,-0.115678353996155
2026-07-15,7.2793,0.0,92.18637175830104,82.80023659485407,92.58252383010671,-0.20363867099893895,-0.1133641092302261
2026-07-16,7.2903,0.0,92.32567774779746,82.92535887344451,92.70764610869713,-0.20243526206964468,-0.11202428331310943
